loan_id,balance,pd,lgd
L007_01_low,45744.19,0.0405,0.5379
INV_007_neg_bal,-39502.18,0.0646,0.4289
L007_00_mid,570347.2,0.1905,0.6051
L007_03_low,447481.86,0.0238,0.4803
L007_00_high,424380.88,0.3386,0.3247
L007_02_mid,314131.05,0.16,0.412
INV_007_null_pd,36554.15,,0.5477
L007_02_low,487776.3,0.0581,0.8112
INV_007_bad_lgd,81436.19,0.0964,1.3706
L007_00_low,87074.55,0.073,0.3236
INV_007_bad_pd,49760.74,1.3411,0.5045
L007_01_high,405659.07,0.2948,0.6863
INV_007_zero_bal,0.0,0.0693,0.4135
L007_01_mid,404764.74,0.095,0.785
